Comment,Designator,Footprint,LCSC Part #
CMT-8504-100-SMT,BZ1,MagneticBuzzer_CUI_CMT-8504-100-SMT,C3811795
10uF/25V,"C1,C4,C11,C18",C_1210_3225Metric,C39232
100nF,"C2,C3,C6,C8,C12,C14,C15,C20,C23,C31",C_0805_2012Metric,C49678
22uF,"C5,C7",C_0805_2012Metric,C45783
1uF,C9,C_0805_2012Metric,C28323
10uF,"C10,C24",C_0805_2012Metric,C15850
22uF/25V,"C16,C17",C_1210_3225Metric,C52306
220uF/16V,C30,CP_Elec_6.3x7.7,C178588
IR333-A,"D1,D2,D3,D4,D5,D6",LED_D5.0mm_IRGrey,C264290
"Indicator LED 0603 super-red AlInGaP, hi","D23,D24,D25,D26,D27,D28",LED_0603_1608Metric,C5875723
1N4148W,D29,D_SOD-123,C83528
Power LED 0603 green,D30,LED_0603_1608Metric,C5875723
Status LED 0603 blue,D31,LED_0603_1608Metric,C5875723
WS2812B addressable RGB 5050,D32,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795
Motor-power LED 0603,D33,LED_0603_1608Metric,C5875723
2.6A/16V PPTC,F1,Fuse_1812_4532Metric,C883162
BATT_IN_2S,J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
MOTOR_A_N20_ENCODER,J5,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical,C157984
MOTOR_B_N20_ENCODER,J6,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical,C157984
USB-C rear,J7,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C3020560
BATT_IN_XT60,J10,AMASS_XT60-M_1x02_P7.20mm_Vertical,C98733
4.7uH,"L1,L2",L_Bourns_SRP4020TA,C2041623
Q_PMOS reverse guard,Q1,SOT-23,C150492
PT334-6B,"Q2,Q3,Q4,Q5,Q6,Q7",LED_D5.0mm_IRBlack,C369188
BSS138,"Q16,Q17,Q18",SOT-23,C82045
BSS84,"Q28,Q29,Q30,Q31,Q32,Q33",SOT-23,C82079
MMBT2222A,Q34,SOT-23,C94515
100k,"R1,R2,R62,R63,R64,R69,R73",R_0805_2012Metric,C96346
39k,R3,R_0805_2012Metric,C113306
10k,"R6,R7,R8,R9,R10,R11,R55,R65,R67,R79,R80",R_0805_2012Metric,C17414
5.1k,"R12,R56",R_0805_2012Metric,C27834
47k,"R13,R15,R17,R19,R21,R23",R_0805_2012Metric,C17713
33,"R14,R16,R18,R20,R22,R24",R_0805_2012Metric,C17634
1k,"R49,R50,R51,R52,R53,R54,R57,R58,R82,R83,R84",R_0805_2012Metric,C17513
15k,R68,R_0805_2012Metric,C17475
220k,R70,R_0805_2012Metric,C17556
110k,R71,R_0805_2012Metric,C2907221
11k,R74,R_0805_2012Metric,C17429
4.7k,"R77,R78",R_0805_2012Metric,C17673
220,R81,R_0805_2012Metric,C17557
BTN_A,SW1,SW_PUSH_6mm,C285524
RESET,SW2,SW_PUSH_6mm,C285524
BTN_B,SW3,SW_PUSH_6mm,C285524
BTN_C,SW4,SW_PUSH_6mm,C285524
PWR ALL,SW5,SW_SPDT_PCM12,C221841
PWR MOTORS,SW6,SW_SPDT_PCM12,C221841
AP63203WU-7,U1,TSOT-23-6,C780769
TB6612FNG,U2,SSOP-24_5.3x8.2mm_P0.65mm,C141517
ESP32-S3-WROOM-1-N8R2,U3,ESP32-S3-WROOM-1,C2913204
USBLC6-2SC6,U6,SOT-23-6,C7519
TPS54302DDCR,U7,SOT-23-6,C311983
BNO055,U8,BNO055,C93216
