Designator,Comment,Footprint,LCSC Part #,Order MPN,Qty
"D1,D2,D3,D4,D5,D6",IR333-A,LED_D5.0mm_IRGrey,C264290,IR333-A,6
J1,BATT_IN_2S,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012,B2B-XH-A,1
J5,MOTOR_A_N20_ENCODER,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical,C157984,B6B-ZR(LF)(SN),1
J6,MOTOR_B_N20_ENCODER,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical,C157984,B6B-ZR(LF)(SN),1
J7,USB-C rear,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C3020560,USB4105-GF-A,1
J10,BATT_IN_XT60,AMASS_XT60-M_1x02_P7.20mm_Vertical,C98733,XT60-M,1
"Q2,Q3,Q4,Q5,Q6,Q7",PT334-6B,LED_D5.0mm_IRBlack,C369188,PT334-6B,6
SW1,BTN_A,SW_PUSH_6mm,C285524,PTS645VL582LFS,1
SW2,RESET,SW_PUSH_6mm,C285524,PTS645VL582LFS,1
SW3,BTN_B,SW_PUSH_6mm,C285524,PTS645VL582LFS,1
SW4,BTN_C,SW_PUSH_6mm,C285524,PTS645VL582LFS,1
