Ref,PosX,PosY,Rot,Side
C1,32.0000,-54.0000,0.0000,Top
R17,26.0000,-30.0000,0.0000,Top
C11,44.0000,-65.0000,0.0000,Top
C9,40.0000,-60.0000,0.0000,Top
R7,25.0000,-50.0000,0.0000,Top
BZ1,76.0000,-62.0000,0.0000,Top
C2,37.0000,-54.0000,0.0000,Top
SW6,15.5000,-116.4000,0.0000,Top
R23,78.0000,-39.0000,0.0000,Top
C30,12.5000,-57.5000,180.0000,Top
D29,84.0000,-70.0000,90.0000,Top
Q4,12.5000,-22.4000,45.0000,Top
Q35,6.0000,-48.0000,180.0000,Top
R62,44.0000,-37.5000,0.0000,Top
R24,78.0000,-42.0000,0.0000,Top
R10,76.0000,-104.0000,0.0000,Top
D4,82.1300,-27.7700,315.0000,Top
C31,44.0000,-20.0000,0.0000,Top
U2,50.0000,-72.0000,270.0000,Top
R9,44.0000,-47.0000,0.0000,Top
R68,20.0000,-100.0000,0.0000,Top
R80,56.0000,-64.0000,0.0000,Top
C10,51.7000,-89.0000,0.0000,Top
C14,60.0000,-60.0000,0.0000,Top
R84,32.0000,-106.0000,0.0000,Top
D2,78.5700,-15.0000,90.0000,Top
C5,71.0000,-54.0000,0.0000,Top
R57,47.5000,-84.0000,90.0000,Top
R63,54.0000,-37.5000,0.0000,Top
C4,55.0000,-49.0000,0.0000,Top
R20,70.0000,-30.0000,0.0000,Top
L1,66.0000,-53.5000,0.0000,Top
SW2,50.0000,-28.0000,0.0000,Top
R55,58.0000,-74.0000,0.0000,Top
Q5,87.5000,-22.4000,315.0000,Top
R3,20.0000,-63.0000,0.0000,Top
R16,66.0000,-23.0000,0.0000,Top
U3,50.0000,-106.7000,180.0000,Top
D5,15.0000,-44.2000,90.0000,Top
U8,50.0000,-59.0000,0.0000,Top
D1,21.4300,-15.0000,90.0000,Top
Q3,69.0500,-15.0000,90.0000,Top
R22,22.0000,-42.0000,0.0000,Top
J1,90.2500,-114.0000,0.0000,Top
R67,16.0000,-100.0000,0.0000,Top
C3,63.5000,-48.5000,0.0000,Top
Q2,30.9500,-15.0000,90.0000,Top
R1,96.0000,-44.0000,0.0000,Top
R15,70.0000,-23.0000,0.0000,Top
R83,38.0000,-106.0000,0.0000,Top
R2,16.0000,-63.0000,0.0000,Top
Q17,50.0000,-37.5000,180.0000,Top
R64,44.0000,-42.0000,0.0000,Top
J5,36.7500,-69.1000,0.0000,Top
D30,26.0000,-110.0000,0.0000,Top
U1,61.0000,-54.0000,180.0000,Top
Q16,40.0000,-37.5000,180.0000,Top
R11,34.0000,-60.0000,0.0000,Top
Q7,85.0000,-36.6000,270.0000,Top
D32,50.0000,-20.0000,0.0000,Top
C12,28.0000,-44.0000,0.0000,Top
J6,63.2500,-70.0000,180.0000,Top
SW5,6.0000,-116.4000,0.0000,Top
R58,52.5000,-84.0000,90.0000,Top
Q18,40.0000,-42.0000,180.0000,Top
R8,40.0000,-47.0000,0.0000,Top
R85,9.5000,-44.0000,0.0000,Top
R18,30.0000,-30.0000,0.0000,Top
SW1,40.0000,-28.0000,0.0000,Top
R79,56.0000,-61.0000,0.0000,Top
SW4,64.0000,-102.0000,0.0000,Top
Q1,92.5000,-48.0000,180.0000,Top
R81,64.0000,-65.2000,270.0000,Top
Q6,15.0000,-36.6000,90.0000,Top
R13,30.0000,-23.0000,0.0000,Top
D3,17.8700,-27.7700,45.0000,Top
R12,67.0000,-109.0000,0.0000,Top
R69,68.0000,-44.0000,0.0000,Top
C32,44.0000,-56.0000,0.0000,Top
D33,32.0000,-110.0000,0.0000,Top
R21,22.0000,-39.0000,0.0000,Top
C8,47.6000,-89.0000,90.0000,Top
R19,74.0000,-30.0000,0.0000,Top
D31,38.0000,-110.0000,0.0000,Top
J10,89.2800,-104.8000,0.0000,Top
R6,21.0000,-50.0000,0.0000,Top
R82,26.0000,-106.0000,0.0000,Top
J7,70.0000,-115.6750,0.0000,Top
R14,34.0000,-23.0000,0.0000,Top
D6,85.0000,-44.2000,270.0000,Top
R65,44.0000,-52.0000,0.0000,Top
R56,63.0000,-109.0000,0.0000,Top
F1,95.5000,-64.5000,0.0000,Top
C6,24.0000,-63.0000,0.0000,Top
Q34,72.0000,-70.0000,0.0000,Top
C33,44.0000,-59.5000,0.0000,Top
